order,sample,date,site,treatment,sensor mas proximo,plot,light_plot,humidity_plot,soil_respiration_plot,tree_identity,tree_size(dbh),tree_defoliation,pathogen,litter_depth,litter_moisture,litter_mass,q_suber,q_canariensis,o_europaea,others,non_id,decomposition_level_1,decomposition_level_2,decomposition_level_3,wood,oribatida,mesostigmata,others_acari ,araneae,pseudoscorpionida,Isopoda,entomobryomorpha ,neelipleona,poduromorpha,symphypleona ,coleoptera,diptera,himenoptera,thysanoptera,myriapoda,nematoda,others_arthropods,obs
1,2.3,66,gamir,C,sensor 1,1,0.275,25.6,6.294024903,2,47.74648293,0,,5,,48.99,14.94182486,20.8001633,0,0,64.25801184,10.43,7.08,31.48,15.57,49,24,5,0,1,1,24,0,48,0,0,7,0,2,1,0,12,
2,3.2,66,gamir,C,sensor 1,1,0.275,25.6,8.968293283,3,63.66197724,1,,6.5,,55,14.83636364,19.45454545,0,0,65.70909091,8.73,10.13,36.14,11.29,270,193,9,1,4,1,99,0,72,7,2,4,2,4,0,5,25,
3,4.1,66,gamir,C,sensor 6,1,0.358,9.5,2.738907645,4,28.64788976,0,,3.5,,124.9,6.541232986,7.886309047,0,0,85.57245797,10.94,7.08,106.88,24.8,397,180,48,1,2,1,110,2,62,4,0,6,2,4,5,5,20,
4,5.2,66,gamir,C,sensor 6,1,s2?,9.5,8.07120257,5,63.66197724,1,,6.5,,59.03,13.9590039,10.23208538,0,0,75.80891072,7.24,7.04,44.75,19.94,358,119,7,0,0,0,30,0,20,7,2,6,0,10,0,0,11,1 snail
5,8.2,66,gamir,C,sensor 1,2,0.279,26.1,6.299130058,8,47.74648293,0,,4.5,,68.91,17.76229865,18.41532434,0,0,63.82237701,17.98,6.95,43.98,6.04,62,0,0,0,0,0,0,0,0,0,1,2,0,1,0,0,1,
6,9.3,66,gamir,C,sensor 4,2,0.347,24.3,6.242261036,9,18.14366351,0,,3.2,,28.63,21.27139364,9.884736291,0,0,68.84387007,6.08,2.84,19.71,4.25,178,52,0,0,0,0,17,0,110,4,0,11,1,3,0,0,6,
7,10.2,66,gamir,C,sensor 4,2,0.347,24.3,6.736894185,10,23.87324146,0,,5,,55.64,14.03666427,32.04529116,0,3.468727534,50.44931704,14.35,13.22,28.07,15.8,662,126,30,0,0,1,36,2,48,37,10,7,2,32,0,0,6,
8,15.3,66,gamir,D,sensor 1,3,0.276,21.9,4.172089469,15,30.23943919,0,,3.2,,59.07,12.89994921,19.89165397,0,0,67.20839682,12.21,7.16,39.7,1.24,194,14,0,3,1,0,2,0,19,7,1,2,0,0,0,0,32,"in others, many scorpion fly"
9,16.2,66,gamir,D,sensor 1,3,0.276,21.9,5.859276963,16,46.1549335,0,,5,,12.9,17.44186047,27.6744186,0,0,54.88372093,2.36,3.46,7.08,1.55,219,9,2,0,0,0,10,0,10,1,1,16,4,0,0,0,1,This sample was repeated because the first was losen
10,18.1,66,gamir,D,sensor 1,3,0.276,21.9,5.381204349,18,28.64788976,0,,4.1,,82.73,12.59518917,16.58406866,0,0,70.82074217,13.58,10.56,58.59,12.72,1233,57,0,1,3,0,12,0,77,0,1,3,1,1,0,0,2,
11,19.3,66,gamir,D,sensor 6,3,s3,20.7,7.876257332,19,46.1549335,1,,4.8,,104.52,7.022579411,16.59012629,0,0,76.3872943,14.67,10.01,79.84,33.24,56,5,0,0,0,0,7,0,6,0,0,0,0,2,1,0,0,
12,25.2,66,gamir,D,sensor 2,4,0.404,22.5,3.964221032,25,20.6901426,1,,3.3,,81.65,6.074709124,15.44396816,0,0,78.48132272,13,4.57,64.08,14.56,398,26,4,1,1,0,15,0,14,0,5,1,0,10,2,1,3,
13,26.1,66,gamir,D,sensor 2,4,0.404,22.5,4.212656948,26,52.52113122,1,,3.7,,85.6,6.203271028,10,0,0,83.79672897,9.37,4.5,71.73,16.62,21,11,0,0,0,0,5,0,6,0,0,1,0,0,1,0,3,
14,30.3,66,gamir,D,sensor 3,4,0.384,17.7,4.550170534,30,52.2113122,1,,4.3,,62.05,9.814665592,22.4979855,0,0,67.68734891,12.14,7.91,42,24,164,30,0,0,0,0,9,0,25,0,2,0,0,0,3,2,7,
15,32.2,66,gamir,D,sensor 4,4,0.336,25,6.580976257,32,12.73239545,0,,2.8,,23.03,18.01997395,18.62787668,0,0,63.35214937,4.22,4.22,14.59,3.48,192,94,1,1,0,0,27,5,86,3,1,1,4,2,2,1,10,
16,36.1,66,gamir,C,sensor 1,5,0.331,21.7,5.36862767,36,32.46760839,1,,2.8,,36.17,27.14957147,10.00829417,0,0,62.84213437,9.88,3.56,22.73,7.11,242,55,4,0,0,0,33,0,40,10,0,9,0,1,0,2,3,
17,40.3,66,gamir,C,sensor 2,5,0.372,17.3,5.08543156,40,57.29577951,1,,5.2,,57.71,29.54427309,24.88303587,0,0,45.57269104,25.99,5.42,26.3,13.45,265,38,7,4,0,0,19,0,29,6,2,3,3,0,1,0,2,
18,44.1,66,gamir,C,sensor 3,5,s3,15.2,5.08543156,44,47.74648293,2,,5.7,,51.1,18.43444227,25.6555773,0,0,55.90998043,11.37,11.16,28.57,19.81,20,5,2,0,1,0,5,0,4,2,0,2,0,0,0,0,0,
19,47.1,66,gamir,D,sensor 1,6,0.277,21.6,4.149848727,47,15.91549431,0,,4.5,,89.41,6.766580919,7.73962644,0,0,85.49379264,5.1,7.87,76.44,17.57,215,94,0,1,0,0,5,0,8,0,1,0,0,1,1,0,4,
20,50.2,66,gamir,D,sensor 2,6,0.26,24.1,6.547946835,50,13.36901522,0,,3.8,,44.63,28.43378893,16.24467847,0,0,55.3215326,14.35,5.59,24.69,20.23,1005,134,4,2,0,0,98,0,17,1,3,3,0,14,0,1,10,
21,52.1,66,gamir,D,sensor 1,6,0.521,21.6,8.286719888,52,58.88732894,2,,4,,24.88,37.41961415,29.74276527,0,0,32.83762058,13.61,3.1,8.17,11.8,14,9,5,0,0,0,3,0,2,0,1,2,0,6,0,4,1,
22,53.3,66,gamir,D,sensor 6,6,0.525,13.1,2.59034127,53,15.27887454,2,,2.5,,43.83,9.559662332,12.20625143,0,0,78.23408624,5.01,4.53,34.29,12.87,14,6,0,0,0,0,2,0,0,0,0,0,0,0,0,7,3,
Total,,,,,,,,,,,,,,,,1300.38,15.94222332,17.84130826,,,66.05879898,242.61,147.96,909.81,1300.38,6228,1281,128,15,13,4,568,9,703,89,33,86,19,93,17,28,162,9476
,,,,,,,,,,,,,,,,promedios,,,,,,,,,,,,,,,,,,,,,,,,,,,